number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,19500000.0,3.0,38.4,3.0,,,1971.0,2.8,совмещенный,полностью меблирована
4-комнатная квартира,65000000.0,1.0,135.0,4.0,,,,,2 с/у и более,полностью меблирована
4-комнатная квартира,86645000.0,,133.3,,Grande vie,,2022.0,3,2 с/у и более,
1-комнатная квартира,17820000.0,,33.0,,Rams city,,2023.0,2.7,совмещенный,
3-комнатная квартира,54500000.0,4.0,110.0,13.0,Rams luxury,монолитный,2019.0,3,2 с/у и более,
3-комнатная квартира,56000000.0,6.0,110.0,8.0,Сакура,монолитный,2020.0,3.3,2 с/у и более,
1-комнатная квартира,22900000.0,1.0,46.0,6.0,Agat,,2020.0,,,
3-комнатная квартира,48000000.0,13.0,76.5,15.0,Шахристан,монолитный,2010.0,,,
2-комнатная квартира,41000000.0,3.0,62.0,10.0,Реал Алматы,монолитный,2008.0,3,совмещенный,частично меблирована
3-комнатная квартира,32000000.0,,60.0,,,,,,,
2-комнатная квартира,23500000.0,1.0,46.0,5.0,,,1978.0,2.5,совмещенный,
2-комнатная квартира,29800000.0,10.0,52.4,12.0,Zodiac,монолитный,2016.0,,совмещенный,частично меблирована
5-комнатная квартира,130000000.0,8.0,220.0,16.0,Гаухартас,монолитный,2010.0,3.1,2 с/у и более,полностью меблирована
1-комнатная квартира,22000000.0,10.0,42.0,9.0,,,1987.0,2.8,раздельный,
3-комнатная квартира,86000000.0,,119.0,,AFD Plaza,монолитный,2013.0,3,,
4-комнатная квартира,140000000.0,2.0,151.0,5.0,Ботанический Cад,монолитный,2004.0,2.8,раздельный,частично меблирована
2-комнатная квартира,20400000.0,2.0,43.0,5.0,,,1975.0,,совмещенный,
3-комнатная квартира,23400000.0,4.0,60.0,4.0,,,1961.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,13500000.0,3.0,31.8,5.0,,,1988.0,,совмещенный,частично меблирована
3-комнатная квартира,53600000.0,4.0,101.5,9.0,,,1981.0,2.7,раздельный,полностью меблирована
2-комнатная квартира,18900000.0,1.0,44.0,5.0,,,1971.0,,совмещенный,полностью меблирована
3-комнатная квартира,55000000.0,14.0,85.0,16.0,Солнечный Квартал,монолитный,2012.0,2.8,,
3-комнатная квартира,97000000.0,1.0,136.0,5.0,,,2012.0,4,2 с/у и более,полностью меблирована
5-комнатная квартира,140000000.0,15.0,212.2,15.0,Астана,монолитный,2006.0,3,2 с/у и более,частично меблирована
2-комнатная квартира,23000000.0,2.0,45.0,5.0,,,1983.0,2.7,совмещенный,
