number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,22400000.0,13.0,44.0,13.0,12 месяцев,монолитный,2020.0,2.75,совмещенный,пустая
2-комнатная квартира,18500000.0,4.0,45.0,4.0,,,1969.0,,совмещенный,
3-комнатная квартира,40000000.0,7.0,75.0,8.0,,,1975.0,,раздельный,
2-комнатная квартира,28500000.0,7.0,57.0,13.0,Nomad,монолитный,2021.0,2.8,2 с/у и более,пустая
4-комнатная квартира,27500000.0,2.0,55.0,5.0,,,1981.0,2.7,совмещенный,пустая
4-комнатная квартира,53000000.0,16.0,130.0,18.0,Алтын Булак 2,монолитный,2011.0,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,26000000.0,7.0,57.0,9.0,,,1986.0,,раздельный,
1-комнатная квартира,18000000.0,13.0,55.0,13.0,,,2017.0,,раздельный,
1-комнатная квартира,16900000.0,1.0,31.0,5.0,,,,,,
3-комнатная квартира,33000000.0,5.0,65.0,5.0,,,1978.0,,,частично меблирована
3-комнатная квартира,35500000.0,5.0,65.0,5.0,,,1981.0,,раздельный,частично меблирована
1-комнатная квартира,37000000.0,10.0,57.0,13.0,Алма-Ата,монолитный,2015.0,3.0,совмещенный,частично меблирована
2-комнатная квартира,22700000.0,2.0,41.4,4.0,,,1974.0,2.5,совмещенный,частично меблирована
3-комнатная квартира,34000000.0,3.0,69.2,12.0,,,1997.0,2.8,раздельный,частично меблирована
3-комнатная квартира,41000000.0,6.0,71.0,9.0,,,1978.0,,раздельный,полностью меблирована
1-комнатная квартира,20000000.0,1.0,30.3,5.0,,,1975.0,2.6,совмещенный,
2-комнатная квартира,20394240.0,,45.2,,Nomad 2,,,2.7,совмещенный,
1-комнатная квартира,21500000.0,1.0,40.0,9.0,,,1990.0,2.9,совмещенный,полностью меблирована
3-комнатная квартира,45200000.0,5.0,103.2,5.0,,,,,раздельный,
1-комнатная квартира,13288000.0,2.0,30.0,9.0,River Time,монолитный,2022.0,2.7,,
3-комнатная квартира,32900000.0,8.0,98.0,13.0,12 месяцев,монолитный,2021.0,2.8,2 с/у и более,
2-комнатная квартира,31000000.0,1.0,66.0,18.0,Алтын Булак 2,,2012.0,3.2,,
2-комнатная квартира,24000000.0,3.0,43.0,5.0,,,1978.0,2.5,совмещенный,частично меблирована
1-комнатная квартира,11300000.0,4.0,35.0,9.0,,,,,совмещенный,
3-комнатная квартира,53000000.0,3.0,106.0,13.0,,,2006.0,3.0,2 с/у и более,частично меблирована
2-комнатная квартира,22000000.0,12.0,45.0,13.0,12 месяцев,монолитный,2021.0,,,
1-комнатная квартира,22000000.0,12.0,45.0,13.0,12 месяцев,монолитный,2021.0,,,
2-комнатная квартира,30000000.0,7.0,62.0,13.0,12 месяцев,монолитный,2021.0,,,
3-комнатная квартира,31000000.0,1.0,65.0,5.0,,,1990.0,,раздельный,
