index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1797,2-комнатная квартира,9.0,64.0,10.0,MISSING,MISSING,MISSING,-999.0,совмещенный,MISSING
208,1-комнатная квартира,5.0,42.43,10.0,Alma City,монолитный,2021,2.8,MISSING,MISSING
105,1-комнатная квартира,14.0,58.8,16.0,Премьера,монолитный,2012,3.1,совмещенный,полностью меблирована
957,1-комнатная квартира,7.0,47.0,10.0,MISSING,MISSING,2017,2.9,MISSING,MISSING
1621,3-комнатная квартира,16.0,110.0,16.0,Премьера,монолитный,2014,2.8,MISSING,полностью меблирована
532,4-комнатная квартира,10.0,159.0,16.0,Премьера,монолитный,2013,3.0,2 с/у и более,MISSING
278,1-комнатная квартира,7.0,46.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,MISSING
119,3-комнатная квартира,3.0,132.0,16.0,Премьера,монолитный,2014,2.8,2 с/у и более,полностью меблирована
1441,3-комнатная квартира,1.0,57.0,5.0,MISSING,MISSING,1990,3.0,раздельный,частично меблирована
1024,3-комнатная квартира,10.0,133.0,16.0,Премьера,монолитный,2014,2.8,2 с/у и более,частично меблирована
47,2-комнатная квартира,5.0,45.0,10.0,Alma City,MISSING,2021,-999.0,MISSING,MISSING
1509,1-комнатная квартира,7.0,28.3,10.0,Alma City,монолитный,2021,2.7,совмещенный,частично меблирована
1139,1-комнатная квартира,5.0,35.0,6.0,MISSING,MISSING,2019,2.8,совмещенный,MISSING
793,1-комнатная квартира,6.0,44.0,9.0,Шугыла,монолитный,2017,2.75,совмещенный,полностью меблирована
1238,3-комнатная квартира,10.0,130.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,MISSING
1785,1-комнатная квартира,1.0,18.1,1.0,MISSING,MISSING,MISSING,2.7,MISSING,пустая
861,3-комнатная квартира,8.0,75.0,9.0,Шугыла,MISSING,2018,2.8,раздельный,полностью меблирована
1077,2-комнатная квартира,11.0,98.3,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
1881,3-комнатная квартира,5.0,92.0,10.0,Alma City,монолитный,2020,2.8,раздельный,полностью меблирована
1265,2-комнатная квартира,3.0,108.0,16.0,Премьера,монолитный,2015,-999.0,раздельный,частично меблирована
708,2-комнатная квартира,8.0,65.0,9.0,Аль-Фараби,монолитный,2015,-999.0,MISSING,MISSING
95,2-комнатная квартира,2.0,42.0,10.0,MISSING,MISSING,2016,-999.0,совмещенный,пустая
953,1-комнатная квартира,4.0,40.3,9.0,MISSING,MISSING,1989,2.6,совмещенный,MISSING
